id,cpf,nome_completo,emprego_atual,data_nascimento,situacao_civil,cliente_especial,rua,bairro,cidade,estado,CEP,idade
1037,932.086.175-77,Paulo Lopes,Limpador de vidros,1978-01-03,Solteiro(a),0,Conjunto Breno Cardoso,Vila Novo São Lucas,Oliveira das Flores,MA,83208-913,46
1038,098.243.576-29,Heloisa Farias,Almirante,1966-02-13,Solteiro(a),0,Ladeira de Cavalcante,Vila Pilar,Correia,RO,45142233,58
1039,815.629.340-15,Heloisa Ferreira,Somelier,1988-09-02,Divorsiado(a),0,Esplanada de Gonçalves,Camponesa 1ª Seção,Azevedo das Flores,AL,91467228,35
1040,679.345.120-07,Ian Vargas,Tesoureiro,2003-08-09,Divorsiado(a),0,Sítio de Correia,Mirtes,Silveira de Goiás,RR,27195-354,20
1041,490.521.867-58,Mariana Cirino,Jóquei,1985-08-02,Casado(a),0,Via de Pereira,Indaiá,Oliveira de Teixeira,PI,98304533,38
1042,173.420.589-04,Pedro Lucas Melo,Lubrificador de máquinas,1992-07-20,Divorsiado(a),0,Avenida de da Cunha,Grajaú,Cunha de Nogueira,AM,07552-125,31
1043,584.716.092-58,Dr. Ian Camargo,Ferramenteiro,1983-07-23,Solteiro(a),0,Sítio de Pinto,Salgado Filho,Almeida de Costela,MT,08646-158,40
1044,125.743.069-61,Allana Rocha,Geofísico,1987-12-27,Divorsiado(a),0,Setor Montenegro,Vila Mangueiras,Teixeira,PE,64296-024,36
1045,598.043.627-83,Anthony Novaes,Corretor de imóveis,1980-06-08,Casado(a),0,Pátio de Marques,Canaa,da Costa,SP,19577076,43
1046,160.934.578-93,Sofia Oliveira,Instrutor,2002-01-14,Divorsiado(a),0,Condomínio Lopes,Conjunto Novo Dom Bosco,Novaes da Prata,MG,21273828,22
1047,957.432.068-56,Marina Mendonça,Assistente administrativo,1962-05-02,Casado(a),0,Passarela Casa Grande,Vila Satélite,Pimenta,RR,18326-359,62
1048,315.689.207-68,Yago Cassiano,Rebarbador de metal,1978-07-07,Divorsiado(a),0,Rodovia Fonseca,Itaipu,Sousa,AP,87316718,45
1049,721.054.368-62,Isadora Correia,Jangadeiro,1972-07-24,Divorsiado(a),0,Conjunto Cavalcanti,Santa Helena,Cunha,RS,35976-771,51
1050,084.123.795-60,Pedro Henrique Fonseca,Engenheiro sanitarista,1981-04-09,Casado(a),0,Fazenda Andrade,Novo Glória,Martins,MA,47343-562,43
1051,825.340.697-56,Marcos Vinicius Viana,Ciclista,1990-08-22,Divorsiado(a),0,Praça Duarte,Conjunto Capitão Eduardo,Abreu de Camargo,GO,95409578,33
1052,854.319.706-66,Aylla Vasconcelos,Empregado doméstico,2001-12-22,Casado(a),0,Colônia Machado,Cônego Pinheiro 2ª Seção,Ramos da Serra,MT,87625756,22
1053,608.549.731-84,Lorena Machado,Engenheiro de ergonomia,1969-06-07,Divorsiado(a),0,Quadra Esther Pires,Cdi Jatoba,Silveira,TO,14073-973,54
1054,691.582.370-03,Ana Liz Pimenta,Ajudante de produção,2002-08-13,Divorsiado(a),0,Trecho Ferreira,Vila Piratininga,Carvalho,RN,65852-976,21
1055,398.214.706-96,João Pedro da Luz,Grafologista,2005-02-07,Divorsiado(a),0,Condomínio Duarte,Rio Branco,Azevedo de Cavalcanti,GO,69672701,19
1056,356.971.280-02,Eduardo Correia,Jardineiro,1998-09-06,Solteiro(a),0,Pátio Almeida,Custodinha,Sales das Flores,AM,84926-497,25
1057,357.682.109-03,Asafe Jesus,Implantodontista,1972-10-02,Divorsiado(a),0,Praia das Neves,Vila Puc,da Cunha da Mata,AM,08599138,51
1058,102.539.678-21,Alexia Mendes,Jangadeiro,1967-03-10,Solteiro(a),0,Jardim Oliveira,Vila Mangueiras,Sá,RN,39011-134,57
1059,697.031.284-40,João Miguel Montenegro,Zelador,1975-09-22,Casado(a),0,Vale de Souza,Manacas,Alves,RN,83421-661,48
1060,309.158.762-21,Gabrielly Lopes,Diretor de fotografia,1991-02-08,Divorsiado(a),0,Pátio Lívia Pires,Carmo,Costela da Mata,AP,78099-387,33
1061,512.974.368-73,Dom Costa,Agente de combate à endemias,1987-04-28,Casado(a),0,Vale da Rocha,Nova Cintra,da Mota de Freitas,RN,39689-742,37
1062,079.325.148-60,Isaac Silva,Engenheiro de produto ou produção,1964-12-17,Casado(a),0,Estrada de Cunha,Heliopolis,Moraes,RS,39860989,59
1063,218.967.305-40,Bella Mendonça,Atuário,1960-05-02,Solteiro(a),0,Jardim João Miguel Santos,Jardim São José,Correia dos Dourados,SP,45089-742,64
1064,987.234.065-00,Sara da Rosa,Salgadeira,1981-04-29,Casado(a),1,Alameda Gomes,Barão Homem De Melo 3ª Seção,Gonçalves,RS,61866-530,43
1065,623.597.804-92,Dra. Ana Júlia Aragão,Arquivista,1974-12-23,Divorsiado(a),0,Setor de Ribeiro,Bom Jesus,Machado,MG,21171511,49
1066,365.298.470-65,Dante Macedo,Lixeiro/Coletor de lixo,1983-10-30,Solteiro(a),0,Viaduto Vitor Costela,Maria Tereza,Jesus,MA,19995-403,40
1067,437.956.082-10,Joana Pacheco,Lamboteiro,1960-02-09,Divorsiado(a),0,Lagoa de Garcia,Parque São José,Sales,PE,18779018,64
1068,952.841.370-60,Luiz Fernando Rocha,Diretor de fotografia,1974-08-18,Casado(a),0,Passarela Apollo Silveira,Caetano Furquim,Costela da Serra,AC,85134-487,49
1069,401.836.275-71,Ana Laura Mendes,Geólogo,1985-01-08,Casado(a),0,Rodovia Caio Sales,Nova Vista,Peixoto,GO,73331-527,39
1070,856.234.901-15,Matteo Novaes,Comerciante,1989-01-22,Solteiro(a),0,Quadra Pinto,Santa Inês,Casa Grande do Norte,MG,55779488,35
1071,685.972.014-01,Bianca Sampaio,Militar da Aeronáutica,1966-07-23,Solteiro(a),0,Trecho Eduardo Albuquerque,Santa Cruz,Gonçalves da Prata,SE,94365706,57
1072,701.495.623-06,Dra. Alana Mendes,Tecnólogo em jogos digitais,1988-12-06,Casado(a),0,Estação de Duarte,Conjunto Serra Verde,Melo de Martins,PI,47467-552,35
1073,674.809.125-01,Raul Albuquerque,Pneumologista,1970-10-09,Solteiro(a),0,Parque de Leão,Lajedo,Câmara,PE,50323-814,53
1074,586.479.132-64,Vitor Vasconcelos,Operador de telemarketing,1992-08-03,Casado(a),0,Praça Teixeira,Novo Ouro Preto,da Cruz,AL,68866883,31
1075,253.946.087-92,Ana Luiza Sales,Figurante,1994-12-13,Divorsiado(a),0,Viaduto de Borges,Camponesa 2ª Seção,Novaes,PB,43098957,29
1076,920.687.451-94,Josué Moreira,Professor,1970-09-27,Divorsiado(a),0,Aeroporto Rodrigues,Conjunto Novo Dom Bosco,Ribeiro de Duarte,AL,61862255,53
1077,234.185.097-97,João Gabriel Gonçalves,Síndico,1963-01-30,Solteiro(a),0,Viela Teixeira,Leonina,Vargas do Sul,MS,41789251,61
1078,306.258.719-95,Sra. Marcela Garcia,Apresentador,1974-03-12,Casado(a),0,Passarela de Almeida,Nova Gameleira,Sampaio,PE,27348-762,50
1079,861.254.703-26,Liz Ferreira,Engenheiro agrônomo,1975-06-25,Casado(a),0,Aeroporto Oliveira,Vila Da Luz,Costa,MS,59896040,48
1080,697.401.238-13,Sr. Thomas Freitas,Caixa,1978-08-24,Casado(a),0,Colônia de Teixeira,Madri,Aparecida das Pedras,MS,90304399,45
1081,794.102.863-87,Maria Flor Casa Grande,Dialoguista,1977-07-02,Casado(a),0,Residencial Ayla Vargas,Primeiro De Maio,Camargo do Galho,MA,79869-576,46
1082,375.860.194-01,Dr. Danilo da Luz,Pneumologista,1974-05-13,Solteiro(a),0,Residencial de Pires,Bonsucesso,Casa Grande,MT,26926034,50
1083,328.614.059-70,Diogo Ferreira,Enfermeiro,2005-02-27,Divorsiado(a),0,Distrito Oliveira,Jardim Montanhês,Martins,DF,67056-165,19
1084,061.457.983-00,Leonardo Fonseca,Major,1965-01-28,Casado(a),0,Colônia Barros,Maria Tereza,Azevedo,CE,24878844,59
1085,123.875.964-55,Isabelly Garcia,Comprador,1976-12-03,Solteiro(a),0,Área Sá,Grota,Peixoto,RO,07807-467,47
1086,649.581.027-01,Pedro Miguel Andrade,Corretor da bolsa de valores,1987-12-23,Divorsiado(a),0,Rua Gonçalves,Fernão Dias,Pires de Melo,DF,17637-123,36
1087,819.054.376-84,João Lucas Brito,Adestrador de animais,1993-03-09,Solteiro(a),0,Fazenda Clarice Fernandes,Vila Real 1ª Seção,Correia,PI,26432-145,31
1088,265.381.074-35,Mirella Lopes,Lutador de kung fu,1993-06-26,Casado(a),0,Conjunto Emilly Rocha,Nova Pampulha,Pastor Alegre,PE,07555157,30
1089,856.479.120-01,Antonella Caldeira,Tecnólogo em papel e celulose,1990-07-11,Casado(a),0,Sítio Alice Sampaio,Cenaculo,Lopes das Flores,PI,53788671,33
1090,952.184.037-41,Srta. Isabelly da Cruz,Contra regra,1994-08-06,Divorsiado(a),0,Via de da Cruz,Tirol,Guerra de Leão,RR,47888114,29
1091,986.410.327-03,Maria Helena Sampaio,Técnico em documentação,1979-11-07,Solteiro(a),0,Campo Alves,Bernadete,Sales,PR,99167302,44
1092,201.459.368-05,Amanda Araújo,Ortodontista,2000-11-29,Solteiro(a),0,Feira Ísis Lopes,Dom Bosco,Gonçalves Alegre,SP,83783-471,23
1093,490.682.135-98,Henrique Pires,Bancário,1964-11-21,Solteiro(a),0,Esplanada de Dias,Maria Helena,Barros,PB,96263-036,59
1094,496.105.837-84,Liam Cardoso,Educador integrado à saúde pública,2003-02-26,Divorsiado(a),0,Rodovia Antony Alves,Vila Da Amizade,Silveira da Prata,PE,16388036,21
1095,261.387.450-35,Arthur Garcia,Médico legista,1995-12-27,Divorsiado(a),0,Fazenda Macedo,Vila Da Ária,da Rosa,PE,39628-807,28
1096,619.278.045-58,Dr. Augusto Mendonça,Trilheiro ou músico de cinema,1983-09-13,Solteiro(a),0,Lagoa de Albuquerque,Marieta 1ª Seção,Marques de Sá,MT,24153893,40
1097,417.359.628-64,Luigi da Costa,Teólogo,2006-04-04,Solteiro(a),0,Área Lavínia Montenegro,Sagrada Família,Ferreira de Goiás,TO,76452833,18
1098,856.741.930-10,Apollo Rocha,Metalúrgico,2004-11-25,Divorsiado(a),0,Estação Kaique Peixoto,Canadá,Silva,MG,59246-510,19
1099,639.715.480-75,Dra. Lorena Vasconcelos,Acupunturista,1971-12-10,Solteiro(a),0,Campo Siqueira,Santa Lúcia,Porto,PB,86153990,52
1100,453.860.729-00,Mariane Melo,Eletricista de automóveis,1968-03-24,Divorsiado(a),0,Morro Anthony Gabriel Cirino,Castanheira,Duarte Paulista,DF,44204-435,56
1101,649.172.583-91,Dra. Ana Luiza Cavalcante,Cinematográfo,1962-10-28,Solteiro(a),0,Colônia Rezende,Ouro Preto,Rezende,PB,80018-310,61
1102,690.314.582-60,Giovanna Cardoso,Redator,2002-10-20,Divorsiado(a),0,Rua Casa Grande,Vila Boa Vista,Mendonça do Galho,AP,61844399,21
1103,172.846.930-96,Arthur Miguel Pires,Orientador educacional,1962-09-30,Divorsiado(a),0,Travessa da Rosa,Carlos Prates,da Mota de Gomes,MA,20826023,61
1104,648.103.795-66,Allana Santos,Saxofonista,1994-01-07,Solteiro(a),0,Residencial Alice Jesus,Tupi A,Oliveira,DF,96717-185,30
1105,259.843.107-32,Davi Miguel Siqueira,Instrutor,1987-02-11,Solteiro(a),0,Parque Pereira,Mantiqueira,Souza Alegre,BA,13022-366,37
1106,597.403.261-61,Cecilia Oliveira,Prático,1994-07-12,Solteiro(a),0,Feira de Caldeira,Vila Batik,Pastor,SP,32392-476,29
1107,421.980.763-22,Ana Beatriz Peixoto,Seringueiro,1989-03-05,Divorsiado(a),0,Travessa Matteo Pimenta,Engenho Nogueira,Moreira das Flores,PA,30565128,35
1108,825.071.649-30,Alexia da Rosa,Coloproctologista,1967-07-18,Casado(a),0,Estação da Cunha,Vila São Dimas,Vasconcelos Grande,MT,90975754,56
1109,718.365.942-91,Antony Moraes,Orçamentista,1994-03-11,Casado(a),1,Praça João Vitor da Paz,Solimoes,Araújo,PA,69034331,30
1110,309.245.167-80,Thomas Jesus,Agente de combate à endemias,1961-01-02,Solteiro(a),0,Núcleo Manuela Ribeiro,Corumbiara,Sá da Mata,PR,04595958,63
1111,910.637.845-57,Heloísa Silveira,Arranjador musical,1962-04-06,Casado(a),0,Quadra Ayla Pires,Minas Caixa,Gomes,SP,38263519,62
1112,372.546.810-90,Calebe Ramos,Tecnólogo em irrigação e drenagem,1969-06-24,Solteiro(a),0,Loteamento Luiz Fernando Cardoso,Vila Ecológica,Moura de Minas,SE,51652849,54
1113,746.319.852-91,Caleb Pinto,Tecnólogo em produção moveleira,1970-10-20,Casado(a),0,Colônia Eloá Cardoso,Nova Vista,Correia do Galho,BA,33193889,53
1114,540.283.679-56,Dr. Luiz Otávio Guerra,Corredor de atletismo,1984-06-07,Divorsiado(a),0,Vila Cassiano,Nova Floresta,Fernandes,RS,43656-758,39
1115,186.023.749-50,Sr. Daniel Aparecida,Fresador,1966-09-23,Solteiro(a),0,Quadra Mendonça,Santa Isabel,Campos,CE,31911-039,57
1116,149.570.362-25,Gael Leão,Dedetizador,1964-03-11,Divorsiado(a),0,Vereda Sara Lopes,Novo Ouro Preto,Cardoso,PB,12629-029,60
1117,560.974.132-70,Sofia Barros,Astrofísico,1993-02-14,Divorsiado(a),0,Núcleo Bento Duarte,São Gabriel,Fogaça,SC,98070-695,31
1118,894.056.723-47,Otto Aragão,Assistente de câmera,1963-02-25,Divorsiado(a),0,Área Emanuella Fernandes,São Jorge 1ª Seção,Pastor,PE,31622334,61
1119,184.203.967-96,Camila Mendes,Promotor público/de justiça,1992-01-19,Solteiro(a),0,Lagoa de Pereira,Vitoria,Machado do Sul,RR,50037637,32
1120,690.284.357-00,Dr. Henrique Cavalcante,Engenheiro de segurança do trabalho,1959-12-31,Solteiro(a),0,Avenida Théo Correia,Cinquentenário,Marques,PI,11282823,64
1121,341.869.720-87,Stella da Rocha,Bombeiro,1992-11-01,Divorsiado(a),0,Vila Bryan Cavalcante,Vila Petropolis,Pacheco,MS,28619389,31
1122,160.294.578-02,Gabrielly Barbosa,Mensageiro,1977-10-19,Solteiro(a),0,Estrada de Castro,Jaraguá,Viana,CE,35455-822,46
1123,294.513.078-50,Ana Laura Dias,Sapateiro,1958-12-22,Solteiro(a),0,Travessa Pires,Grotinha,da Mata do Amparo,SC,18878-584,65
1124,317.894.562-82,Luiz Otávio Santos,Porteiro,1969-08-04,Divorsiado(a),0,Residencial Leandro Machado,Conjunto Novo Dom Bosco,Brito,AC,07748337,54
1125,309.452.187-88,Maria Alice Campos,Modelista,1997-04-27,Casado(a),0,Praça de Almeida,Ambrosina,Câmara Verde,DF,85216-240,27
1126,048.659.137-93,Davi Miguel Martins,Bancário,1995-02-18,Solteiro(a),0,Esplanada de Mendes,Nova Suíça,Peixoto Paulista,RJ,31054-893,29
1127,027.896.314-50,Vitor Sampaio,Ministro,1975-08-13,Divorsiado(a),0,Ladeira de Marques,Vera Cruz,Nascimento do Amparo,PA,20196245,48
1128,823.714.569-00,Daniel Ferreira,Tenente,1982-02-22,Divorsiado(a),0,Praia Olívia Vasconcelos,Marieta 3ª Seção,Rios das Pedras,AP,55087957,42
1129,986.253.107-02,Agatha Moura,Cirurgião dentista,1994-07-20,Casado(a),0,Setor de Albuquerque,Centro,Alves,AC,04490-519,29
1130,089.752.461-67,Lorenzo Barbosa,Endodontista,1985-03-09,Solteiro(a),0,Viaduto Otto Azevedo,Copacabana,da Paz,RO,75543-196,39
1131,605.297.813-95,Luana da Mata,Cineasta,1984-12-05,Casado(a),0,Sítio de Pires,Penha,da Mota,RS,60696170,39
1132,431.802.795-32,Sr. Luiz Otávio Carvalho,Maestro,1990-09-05,Solteiro(a),0,Conjunto Cassiano,Custodinha,Siqueira,RO,57282-611,33
1133,130.458.627-80,Srta. Maria Helena da Mata,Ortoptista,1971-05-22,Casado(a),0,Trevo Gabriela Ramos,Santa Margarida,Fernandes dos Dourados,AL,73772553,53
1134,651.487.903-93,Hadassa Campos,Desenhista,1969-08-20,Solteiro(a),0,Esplanada Ramos,Padre Eustáquio,Cardoso do Sul,CE,74357854,54
1135,980.745.163-93,Luiz Otávio Mendes,Profissional de informática,1996-03-16,Casado(a),0,Sítio de Caldeira,Parque São José,Costa de Minas,PA,75786332,28
1136,389.574.016-01,Mariah Barbosa,Microfonista,1990-09-17,Solteiro(a),0,Recanto Pires,Marieta 1ª Seção,Almeida,PB,12239-870,33
1137,243.605.187-90,Matheus Pires,Argumentista,1996-05-14,Solteiro(a),0,Vale de Rezende,Padre Eustáquio,Rocha de Minas,MA,01601-860,28
1138,018.729.364-31,Dr. Leonardo da Mata,Técnico em óptica,1999-09-15,Solteiro(a),0,Lagoa de Cavalcanti,Santo André,Santos do Galho,MS,99633322,24
1139,082.957.134-50,Luigi Mendonça,Instrumentista musical,2006-05-02,Solteiro(a),0,Viela Azevedo,Teixeira Dias,Macedo do Amparo,PA,45759-423,18
1140,943.651.708-48,Nicolas Oliveira,Ourives,1962-03-28,Divorsiado(a),0,Via de Cassiano,Grotinha,Barros da Prata,MG,31919-444,62
1141,391.476.850-93,Bruna Albuquerque,Pintor,1976-08-25,Solteiro(a),0,Conjunto de Peixoto,Biquinhas,Pimenta dos Dourados,MT,32734946,47
1142,817.946.230-78,Sophia Aparecida,Vigia parlamentar,1984-10-20,Solteiro(a),0,Condomínio Julia Mendes,Cdi Jatoba,Teixeira,GO,52796-361,39
1143,754.021.896-76,Enzo das Neves,Oceanógrafo,1960-04-10,Divorsiado(a),0,Distrito Lima,Monsenhor Messias,Cardoso do Norte,SC,48995-850,64
1144,834.927.506-56,Luigi Macedo,Médico,1960-09-10,Solteiro(a),0,Morro João Gabriel Campos,Carmo,Moura do Amparo,MT,40786585,63
1145,407.389.265-74,Srta. Olívia Cardoso,Coronel,1977-09-23,Solteiro(a),0,Pátio Silveira,Nossa Senhora Da Aparecida,Novais,AM,02993648,46
1146,678.451.329-00,Maria Flor Pereira,Engenheiro cartográfico,1986-12-03,Solteiro(a),0,Área Liam Barbosa,Jardinópolis,Rezende,TO,96895-002,37
1147,857.320.169-02,Sr. Théo Pires,Cartunista,1963-08-20,Solteiro(a),0,Praça de Caldeira,Cidade Jardim Taquaril,Silveira Verde,PI,76810-440,60
1148,295.071.346-70,Srta. Isabelly Cassiano,Físico nuclear,1982-08-24,Casado(a),0,Quadra de da Paz,Santa Cruz,Cirino,AL,38136-682,41
1149,243.057.681-35,Josué Macedo,Filósofo,1959-06-10,Divorsiado(a),0,Lagoa de Santos,Engenho Nogueira,Caldeira,PE,58216655,64
1150,761.543.029-16,Heitor Souza,Dentista,1972-06-26,Casado(a),0,Área de Sousa,Monte Azul,Nunes,RO,24043-639,51
1151,736.902.841-04,Cecilia das Neves,Naturólogo,2000-01-23,Solteiro(a),0,Condomínio Emanuella Silveira,Betânia,Cavalcante,PA,33662765,24
1152,037.954.268-47,Dr. Luiz Fernando Mendes,Intérprete e tradutor de língua de sinais,1972-09-30,Casado(a),0,Vila de Gonçalves,Nossa Senhora Do Rosário,da Cruz,AL,30162010,51
1153,932.471.560-70,Luiz Henrique da Cruz,Perito criminal,1991-03-16,Solteiro(a),0,Setor de Almeida,São João,Castro de Correia,RN,22850-684,33
1154,672.905.418-20,Ayla Fonseca,Digitador,1964-11-05,Divorsiado(a),0,Vale Monteiro,Cabana Do Pai Tomás,Vasconcelos da Serra,RR,43315383,59
1155,174.895.063-01,Elisa da Cunha,Lapidário,1981-01-08,Casado(a),0,Aeroporto Montenegro,Santa Rita De Cássia,Moreira do Norte,TO,60638-020,43
1156,906.421.835-89,Breno Porto,Dançarino,1991-04-18,Casado(a),0,Estação de Borges,Pousada Santo Antonio,Guerra,AP,95336-127,33
1157,672.548.130-26,Vicente da Luz,Eletricista de automóveis,1992-06-17,Divorsiado(a),0,Parque Cavalcante,Aeroporto,Montenegro,PB,28368-288,31
1158,438.256.017-90,Raul Fogaça,Policial federal,1987-11-28,Divorsiado(a),0,Condomínio de Sousa,Senhor Dos Passos,Costela,TO,54920281,36
1159,273.648.195-09,Srta. Mariana Correia,Ourives,1981-01-10,Casado(a),0,Viela Jesus,Lajedo,Cardoso,TO,31236-178,43
1160,245.193.867-64,Augusto Gonçalves,Personal stylist,1964-10-08,Casado(a),0,Área de Nascimento,Conjunto Jatoba,Fogaça,GO,50547129,59
1161,539.840.176-93,Sr. Theo Gomes,Frentista,1991-07-09,Divorsiado(a),0,Quadra Maria Eduarda Sá,Cidade Jardim Taquaril,Porto,ES,32610955,32
1162,892.046.735-83,Erick Almeida,Técnico em taquigrafia,1969-07-12,Solteiro(a),0,Aeroporto Anna Liz Guerra,Alto Vera Cruz,da Mata de Barros,SP,07300-883,54
1163,370.826.514-90,Oliver Rocha,Radioterapêutico,1969-07-01,Solteiro(a),0,Morro Igor Pires,Lourdes,Alves,RS,23303946,54
1164,635.024.198-33,Dra. Lara Alves,Lutador de karatê,2001-03-15,Casado(a),0,Área Manuella Novais,Vila Califórnia,Campos do Norte,MT,20194-096,23
1165,053.862.197-40,Augusto Ribeiro,Garçom,1991-04-24,Divorsiado(a),0,Conjunto de Pereira,Inconfidência,Freitas,PR,69514-539,33
1166,465.132.897-00,Mariane Vasconcelos,Meredeira,1996-05-25,Casado(a),0,Conjunto Almeida,Bairro Das Indústrias Ii,Silva,AL,16265272,28
1167,786.094.125-20,Srta. Lara Fernandes,Corretor de imóveis,1959-04-23,Solteiro(a),0,Condomínio Lucas Gabriel Jesus,Ribeiro De Abreu,Souza,PE,48751-677,65
1168,603.587.429-00,João Vitor Borges,Técnico em rede,1995-08-19,Solteiro(a),0,Fazenda Rafaela Rocha,Vila Puc,Rocha de Rocha,RS,41633-274,28
1169,712.439.560-70,Benjamin Carvalho,Manicure,1981-07-11,Divorsiado(a),0,Trevo Lima,Liberdade,Ferreira,ES,56545443,42
1170,452.781.930-50,Isabelly Farias,Ufólogo,1977-05-25,Solteiro(a),0,Parque de Mendonça,São Francisco Das Chagas,Azevedo Grande,RO,98094830,47
1171,437.218.650-90,Davi Lucas Freitas,Fisiculturista,1992-05-03,Casado(a),0,Aeroporto de Cirino,Vila Suzana Segunda Seção,Lopes,MA,93731509,32
1172,562.934.017-43,Oliver da Rocha,Ambulante,1973-06-05,Solteiro(a),0,Sítio Kamilly da Rosa,Sagrada Família,da Cunha,RS,91768601,50
1173,547.218.093-79,Luara Silva,Capoeirista,1970-05-11,Casado(a),0,Sítio Oliveira,São Damião,Albuquerque,PE,86936-002,54
1174,962.817.540-85,Laura Barbosa,Consultor de moda,1975-03-03,Solteiro(a),0,Via Maria Helena da Rosa,Olhos D'água,Cassiano Alegre,GO,27497-333,49
1175,456.072.193-99,Sr. Gael Henrique Castro,Senador,1969-03-20,Solteiro(a),0,Viela de Moraes,Bonsucesso,Fernandes das Flores,AP,24583232,55
1176,348.967.052-38,Theo das Neves,Gandula,1986-11-20,Solteiro(a),0,Favela Julia Freitas,São Vicente,Martins Alegre,MA,19890217,37
1177,105.846.329-24,Luiz Gustavo da Cunha,Jogador de futebol,2004-04-19,Casado(a),0,Parque Ana Cecília da Mota,Juliana,Monteiro,PB,68402-655,20
1178,984.371.265-09,Sofia Rezende,Marechal,1964-11-28,Divorsiado(a),0,Praça de Barros,Vila Madre Gertrudes 4ª Seção,Fogaça,SC,94045647,59
1179,906.718.432-22,Daniela Rocha,Professor,1977-11-16,Divorsiado(a),0,Parque de Araújo,Santa Monica,Pinto,ES,17864481,46
1180,425.318.976-82,Davi Lucas Casa Grande,Dublê,1997-05-26,Divorsiado(a),0,Lago de Araújo,Beija Flor,Farias de Araújo,MG,20486268,27
1181,148.062.935-98,Laura Souza,Lavador,1984-05-28,Casado(a),0,Recanto Freitas,São Pedro,Fernandes das Flores,PI,81269-184,40
1182,086.254.913-24,Heloísa Alves,Deputado,1995-09-28,Divorsiado(a),0,Via Alexia Fernandes,Estoril,Santos do Amparo,MT,12195883,28
1183,186.790.345-84,Enzo da Rocha,Pediatra,1963-01-28,Divorsiado(a),0,Residencial Oliveira,Ápia,Carvalho,PI,72438-632,61
1184,092.165.487-11,Sra. Marcela Montenegro,Berçarista,1982-11-14,Casado(a),0,Passarela Lorenzo Rios,Goiania,Mendes,RJ,14044-883,41
1185,754.928.013-41,Samuel Carvalho,Modelo,1961-02-27,Divorsiado(a),0,Favela de Monteiro,Satelite,Pastor,TO,46194761,63
1186,453.071.269-99,Cauã Sampaio,Contador,1992-02-01,Divorsiado(a),0,Quadra Souza,Pirineus,Vasconcelos das Pedras,GO,91586150,32
1187,598.347.106-66,Dr. Rafael Nogueira,Triatleta,1988-03-05,Solteiro(a),0,Vila Benjamim Rocha,Jardim Vitoria,Carvalho da Serra,PI,72859-012,36
1188,810.576.934-48,Sr. Vitor Gabriel Ferreira,Policial federal,1981-12-01,Divorsiado(a),0,Favela de Lopes,Dom Bosco,Costela,PB,50894-729,42
1189,638.095.741-39,Srta. Ana Luiza Leão,Pastilheiro,1983-03-28,Solteiro(a),0,Vereda Sophie Andrade,Conjunto São Francisco De Assis,Ramos,RN,68442307,41
1190,587.249.361-46,Olivia Peixoto,Psicomotricista,1995-10-02,Casado(a),0,Chácara Moreira,Palmeiras,Silveira,BA,60983-056,28
1191,450.216.378-35,Melissa da Luz,Contador,1961-03-24,Casado(a),0,Trecho Correia,Conjunto Califórnia Ii,Casa Grande,AC,55695144,63
1192,079.253.648-74,Yasmin Siqueira,Militar da Marinha,1966-10-20,Solteiro(a),0,Vale Cardoso,Virgínia,Ribeiro de Minas,MS,96111-643,57
1193,923.187.560-40,Théo Ramos,Publicitário,1973-03-26,Divorsiado(a),0,Rodovia de Martins,Inconfidência,Rios de Goiás,PB,01680-370,51
1194,047.516.328-17,Stephany Gomes,Cientista político,1975-08-01,Divorsiado(a),0,Travessa de Silva,Caiçara - Adelaide,Gonçalves do Oeste,RO,61409023,48
1195,957.842.031-50,Davi Lucca Montenegro,Baixista,2001-01-21,Divorsiado(a),1,Viela Maria Liz Melo,Conjunto Serra Verde,Nunes Alegre,SP,85099584,23
1196,346.829.710-69,Luiz Otávio Ribeiro,Arquiteto,1961-07-12,Casado(a),0,Passarela Beatriz da Costa,Alto Vera Cruz,Pacheco,PB,85726128,62
1197,437.825.610-07,Ana Vitória Montenegro,Redator,1985-11-22,Solteiro(a),0,Pátio Vieira,Vista Alegre,Ribeiro de da Mota,AM,29492963,38
1198,950.361.248-98,Ísis Cunha,Odontologista estético,1974-03-14,Casado(a),0,Pátio Porto,Paquetá,Andrade de Ramos,RR,59871-914,50
1199,987.640.532-29,Raquel Garcia,Arquivista,1982-07-01,Solteiro(a),0,Área Ramos,Primeiro De Maio,Teixeira de Gonçalves,RS,41035628,41
1200,782.590.634-92,Maria Sophia Dias,Tecnólogo em produção moveleira,2000-10-14,Casado(a),0,Conjunto Câmara,Álvaro Camargos,Azevedo de Rezende,SC,68195108,23
1201,981.027.653-21,Sra. Manuella Araújo,Pedagogo,1989-02-19,Casado(a),0,Estação Farias,Tupi B,Moura,AC,91711095,35
1202,052.168.349-15,Danilo Cunha,Soldador,1977-07-17,Divorsiado(a),0,Trecho Aparecida,Vila Pinho,da Conceição do Oeste,MT,77506587,46
1203,136.752.098-30,Mateus Lopes,Montador de negativos,1965-09-05,Divorsiado(a),0,Rua Martins,Conjunto Taquaril,Fernandes da Serra,RO,36976598,58
1204,264.570.318-62,Dr. Raul Aragão,Aeroviário,1968-05-04,Divorsiado(a),0,Estrada Maria Vitória da Luz,São Vicente,Nogueira,SP,05186012,56
1205,695.840.213-89,Dra. Sarah Sales,Conferente de carga e descarga,2001-08-24,Solteiro(a),0,Vila de Brito,Acaiaca,da Rosa,AL,22880106,22
